fund,filing_date,report_date,quarter,accession_number,issuer_name,title_of_class,cusip,value_usd,shares,put_call,investment_discretion,voting_authority_sole,voting_authority_shared,voting_authority_none
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,HEINZ H J CO,COM,423074103,61731000,1627920,,,1627920,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,HEINZ H J CO,COM,423074103,66765000,1760675,,SOLE,1760675,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,KOHLS CORP,COM,500255104,32499000,613067,,,613067,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,KOHLS CORP,COM,500255104,35182000,663682,,SOLE,663682,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,MCDONALDS CORP,COM,580135101,3612000,105125,,,105125,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,SEARS HLDGS CORP,COM,812350106,99134000,751984,,,751984,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,SEARS HLDGS CORP,COM,812350106,107240000,813470,,SOLE,813470,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,SIZELER PPTY INV INC,COM,830137105,16304000,1104630,,,1104630,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,SIZELER PPTY INV INC,COM,830137105,14361000,972972,,SOLE,972972,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,VIACOM INC NEW,CL B,92553P201,60996000,1572055,,,1572055,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,VIACOM INC NEW,CL B,92553P201,66480000,1713398,,SOLE,1713398,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,WENDYS INTL INC,COM,950590109,7529000,121322,,,121322,,
Pershing Square,2006-05-15,2006-03-31,2006Q1,0000902664-06-001522,WENDYS INTL INC,COM,950590109,101246000,1631428,,SOLE,1631428,,
Pershing Square,2006-08-14,2006-06-30,2006Q2,0001172661-06-000318,BARNES & NOBLE INC,COM,067774109,55776000,1528112,,SOLE,1,0,1528112
Pershing Square,2006-08-14,2006-06-30,2006Q2,0001172661-06-000318,SIZELER PPTY INVS INC,COM,830137105,33366000,2077602,,SOLE,1,0,2077602
Pershing Square,2006-08-14,2006-06-30,2006Q2,0001172661-06-000318,VIACOM INC NEW,CL B,92553P201,147050000,4102941,,SOLE,1,0,4102941
Pershing Square,2006-08-14,2006-06-30,2006Q2,0001172661-06-000318,WENDYS INTL INC,COM,950590109,76692000,1315704,,SOLE,1,1315704,0
