cusip,ric,Company Common Name,trbc_economic_sector,trbc_business_sector,trbc_industry_group,trbc_industry
000307108,AACH.PK^L20,AAC Holdings Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
00032Q104,WHWK.OQ,Whitehawk Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
000360206,AAON.OQ,Aaon Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment
000361105,AIR.N,AAR Corp,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
000375204,ABBNY.PK,Abb Ltd,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment
000380204,ABCM.OQ^L23,Abcam Ltd,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00080S101,,,,,,
00081T108,ACCO.N,ACCO Brands Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies
000868109,ACNB.OQ,ACNB Corp,Financials,Banking & Investment Services,Banking Services,Banks
00086T103,ACMR.OQ^K11,AC Moore Arts and Crafts Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Miscellaneous Specialty Retailers
000886309,ADCT.OQ^L10,CommScope Connectivity LLC,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
000899104,ADMA.OQ,ADMA Biologics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00090Q103,ADT.N,ADT Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
00091E109,ABSI.OQ,Absci Corp,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00091G104,ACVA.N,ACV Auctions Inc,Technology,Software & IT Services,Software & IT Services,Online Services
000957100,ABM.N,ABM Industries Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
00101J106,ADT.N^E16,ADT Security Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
001031103,AEPI.OQ^A17,AEP Industries Inc,Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging
001040104,AFAQ.OQ^L22,AF Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
001040112,AFAQW.OQ^L22,AF Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
001040203,AFAQU.OQ^L22,AF Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00104Q107,,,,,,
001055102,AFL.N,Aflac Inc,Financials,Insurance,Insurance,Life & Health Insurance
00106J200,AFIDLq.L^B20,AFI Development Ltd,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations"
